Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4
Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V)
02/02/2022 08:35:30 am,0.000,0.001,02/02/2022 08:36:41 am,0.000,9.491E-4,02/02/2022 08:40:46 am,0.000,-8.850E-5,02/02/2022 08:42:21 am,0.000,0.001
02/02/2022 08:35:30 am,0.001,3.998E-4,02/02/2022 08:36:41 am,0.001,5.585E-4,02/02/2022 08:40:46 am,0.001,1.923E-4,02/02/2022 08:42:21 am,0.001,0.001
02/02/2022 08:35:30 am,0.002,-8.850E-5,02/02/2022 08:36:41 am,0.002,0.001,02/02/2022 08:40:46 am,0.002,2.777E-4,02/02/2022 08:42:21 am,0.002,0.001
02/02/2022 08:35:30 am,0.003,-7.721E-4,02/02/2022 08:36:41 am,0.003,1.434E-4,02/02/2022 08:40:46 am,0.003,6.561E-4,02/02/2022 08:42:21 am,0.003,0.002
02/02/2022 08:35:30 am,0.004,4.486E-4,02/02/2022 08:36:41 am,0.004,-5.157E-4,02/02/2022 08:40:46 am,0.004,2.777E-4,02/02/2022 08:42:21 am,0.004,0.002
02/02/2022 08:35:30 am,0.005,-0.001,02/02/2022 08:36:41 am,0.005,4.852E-4,02/02/2022 08:40:46 am,0.005,8.392E-4,02/02/2022 08:42:21 am,0.005,-5.280E-4
02/02/2022 08:35:30 am,0.006,5.707E-4,02/02/2022 08:36:41 am,0.006,0.001,02/02/2022 08:40:46 am,0.006,3.143E-4,02/02/2022 08:42:21 am,0.006,-2.350E-4
02/02/2022 08:35:30 am,0.007,9.460E-5,02/02/2022 08:36:41 am,0.007,0.001,02/02/2022 08:40:46 am,0.007,9.979E-4,02/02/2022 08:42:21 am,0.007,8.148E-4
02/02/2022 08:35:30 am,0.008,0.001,02/02/2022 08:36:41 am,0.008,0.002,02/02/2022 08:40:46 am,0.008,0.001,02/02/2022 08:42:21 am,0.008,-3.204E-4
02/02/2022 08:35:30 am,0.009,3.510E-4,02/02/2022 08:36:41 am,0.009,1.190E-4,02/02/2022 08:40:46 am,0.009,5.463E-4,02/02/2022 08:42:21 am,0.009,7.660E-4
02/02/2022 08:35:30 am,0.010,4.364E-4,02/02/2022 08:36:41 am,0.010,-9.430E-4,02/02/2022 08:40:46 am,0.010,0.002,02/02/2022 08:42:21 am,0.010,2.533E-4
02/02/2022 08:35:30 am,0.011,7.782E-4,02/02/2022 08:36:41 am,0.011,-2.838E-4,02/02/2022 08:40:46 am,0.011,4.608E-4,02/02/2022 08:42:21 am,0.011,-4.547E-4
02/02/2022 08:35:30 am,0.012,7.294E-4,02/02/2022 08:36:41 am,0.012,-2.716E-4,02/02/2022 08:40:46 am,0.012,5.951E-4,02/02/2022 08:42:21 am,0.012,3.632E-4
02/02/2022 08:35:30 am,0.013,0.002,02/02/2022 08:36:41 am,0.013,-1.526E-5,02/02/2022 08:40:46 am,0.013,9.613E-4,02/02/2022 08:42:21 am,0.013,-5.035E-4
02/02/2022 08:35:30 am,0.014,7.416E-4,02/02/2022 08:36:41 am,0.014,0.001,02/02/2022 08:40:46 am,0.014,-0.001,02/02/2022 08:42:21 am,0.014,0.001
02/02/2022 08:35:30 am,0.015,6.073E-4,02/02/2022 08:36:41 am,0.015,0.001,02/02/2022 08:40:46 am,0.015,9.369E-4,02/02/2022 08:42:21 am,0.015,7.294E-4
02/02/2022 08:35:30 am,0.016,6.317E-4,02/02/2022 08:36:41 am,0.016,0.001,02/02/2022 08:40:46 am,0.016,-5.157E-4,02/02/2022 08:42:21 am,0.016,6.073E-4
