Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4
Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V),Date and Time,Time (s),Voltage (V)
04/23/2024 01:21:35 pm,0.000,1.1E-6,04/23/2024 01:21:47 pm,0.000,1.0E-6,04/23/2024 01:21:57 pm,0.000,1.0E-6,04/23/2024 01:22:05 pm,0.000,1.1E-6
04/23/2024 01:21:35 pm,0.001,8.6E-7,04/23/2024 01:21:47 pm,0.001,7.7E-7,04/23/2024 01:21:57 pm,0.001,9.6E-7,04/23/2024 01:22:05 pm,0.001,1.1E-6
04/23/2024 01:21:35 pm,0.002,9.4E-7,04/23/2024 01:21:47 pm,0.002,8.6E-7,04/23/2024 01:21:57 pm,0.002,8.5E-7,04/23/2024 01:22:05 pm,0.002,1.1E-6
04/23/2024 01:21:35 pm,0.003,1.1E-6,04/23/2024 01:21:47 pm,0.003,6.9E-7,04/23/2024 01:21:57 pm,0.003,9.0E-7,04/23/2024 01:22:05 pm,0.003,1.0E-6
04/23/2024 01:21:35 pm,0.004,8.8E-7,04/23/2024 01:21:47 pm,0.004,5.5E-7,04/23/2024 01:21:57 pm,0.004,8.6E-7,04/23/2024 01:22:05 pm,0.004,1.0E-6
04/23/2024 01:21:35 pm,0.005,9.6E-7,04/23/2024 01:21:47 pm,0.005,7.6E-7,04/23/2024 01:21:57 pm,0.005,9.5E-7,04/23/2024 01:22:05 pm,0.005,1.1E-6
04/23/2024 01:21:35 pm,0.006,9.7E-7,04/23/2024 01:21:47 pm,0.006,8.7E-7,04/23/2024 01:21:57 pm,0.006,1.1E-6,04/23/2024 01:22:05 pm,0.006,1.2E-6
04/23/2024 01:21:35 pm,0.007,1.0E-6,04/23/2024 01:21:47 pm,0.007,9.9E-7,04/23/2024 01:21:57 pm,0.007,1.0E-6,04/23/2024 01:22:05 pm,0.007,1.0E-6
04/23/2024 01:21:35 pm,0.008,1.0E-6,04/23/2024 01:21:47 pm,0.008,1.0E-6,04/23/2024 01:21:57 pm,0.008,1.0E-6,04/23/2024 01:22:05 pm,0.008,1.1E-6
04/23/2024 01:21:35 pm,0.009,9.2E-7,04/23/2024 01:21:47 pm,0.009,1.1E-6,04/23/2024 01:21:57 pm,0.009,9.6E-7,04/23/2024 01:22:05 pm,0.009,1.2E-6
04/23/2024 01:21:35 pm,0.010,9.9E-7,04/23/2024 01:21:47 pm,0.010,1.1E-6,04/23/2024 01:21:57 pm,0.010,1.1E-6,04/23/2024 01:22:05 pm,0.010,1.1E-6
04/23/2024 01:21:35 pm,0.011,7.2E-7,04/23/2024 01:21:47 pm,0.011,9.4E-7,04/23/2024 01:21:57 pm,0.011,1.2E-6,04/23/2024 01:22:05 pm,0.011,1.2E-6
04/23/2024 01:21:35 pm,0.012,8.5E-7,04/23/2024 01:21:47 pm,0.012,1.0E-6,04/23/2024 01:21:57 pm,0.012,1.0E-6,04/23/2024 01:22:05 pm,0.012,1.3E-6
04/23/2024 01:21:35 pm,0.013,9.0E-7,04/23/2024 01:21:47 pm,0.013,9.2E-7,04/23/2024 01:21:57 pm,0.013,9.6E-7,04/23/2024 01:22:05 pm,0.013,1.4E-6
04/23/2024 01:21:35 pm,0.014,9.5E-7,04/23/2024 01:21:47 pm,0.014,7.8E-7,04/23/2024 01:21:57 pm,0.014,1.2E-6,04/23/2024 01:22:05 pm,0.014,1.3E-6
